Año:,Clase de accidente:,Tipo de accidente:,Provincia:,Cantón:,Distrito:,Ruta:,X_WGS84,Y_WGS84
2015,Con muertos o graves,Salió de la vía,Puntarenas,Coto Brus,Sabalito,617,-82.90920,8.81777
2014,Solo heridos leves,Atropello a persona,San José,San José,Hospital,2,-84.07994,9.93329
2014,Solo heridos leves,Colisión con motocicleta,San José,San José,Uruca,1,-84.12684,9.96319
2014,Con muertos o graves,Colisión con motocicleta,San José,Puriscal,Santiago,239,-84.30589,9.84954
2017,Solo heridos leves,Colisión con motocicleta,San José,Pérez Zeledón,Daniel Flores,2,-83.66900,9.33048
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Santa Bárbara,Jesús,Cantonal,-84.14122,10.05989
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Heredia,Cantonal,-84.11848,9.99633
2014,Solo heridos leves,Salió de la vía,Heredia,San Rafael,Concepción,Cantonal,-84.07363,10.03090
2014,Con muertos o graves,Atropello a persona,Heredia,San Rafael,San Rafael,Cantonal,-84.09673,10.01357
2014,Solo heridos leves,Atropello a persona,Heredia,Heredia,San Francisco,111,-84.14070,9.99133
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Ulloa,1,-84.15620,9.97727
2014,Con muertos o graves,Colisión con motocicleta,Heredia,Heredia,Mercedes,Cantonal,-84.12832,9.99779
2014,Solo heridos leves,Atropello a persona,Heredia,Heredia,Heredia,Cantonal,-84.11584,9.99625
2014,Solo heridos leves,Atropello animal,Heredia,San Rafael,San Josecito,Cantonal,-84.11059,10.00906
2014,Solo heridos leves,Colisión con motocicleta,Heredia,San Rafael,San Rafael,116,-84.09488,10.01824
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.11672,9.99803
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Santo Domingo,Tures,116,-84.05741,9.99054
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Belén,La Asunción,111,-84.16493,9.98007
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Santo Domingo,Santo Domingo,116,-84.08993,9.97772
2014,Con muertos o graves,Colisión con bicicleta,Heredia,Heredia,San Francisco,3,-84.13778,9.99705
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.12188,10.00348
2014,Solo heridos leves,Vuelco,Heredia,Heredia,San Francisco,Cantonal,-84.11141,9.98629
2014,Solo heridos leves,Atropello a persona,Heredia,Barva,San Pablo,126,-84.12434,10.02375
2014,Solo heridos leves,Colisión con motocicleta,Heredia,San Pablo,San Pablo,112,-84.10467,9.99953
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Belén,La Asunción,Cantonal,-84.16359,9.97549
2014,Solo heridos leves,Colisión con motocicleta,Heredia,San Isidro,San Isidro,116,-84.05456,10.01096
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Santo Domingo,Santo Domingo,5,-84.08977,9.97665
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Mercedes,Cantonal,-84.12455,10.01608
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Mercedes,Cantonal,-84.13320,9.99830
2014,Con muertos o graves,Colisión entre vehículos,Heredia,Heredia,Heredia,5,-84.10928,9.99346
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.12010,9.99835
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Belén,La Ribera,3,-84.17157,10.00427
2014,Solo heridos leves,Colisión con bicicleta,Heredia,Flores,Barrantes,119,-84.14702,10.01368
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.11922,10.00427
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,San Francisco,111,-84.14851,9.99257
2014,Solo heridos leves,Atropello a persona,Heredia,Heredia,San Francisco,Cantonal,-84.11650,9.97578
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Barva,Barva,Cantonal,-84.12430,10.01833
